symbol_name;mass_q1;mass_q2;mass_q3;mass_q4;rel_mass_q1;rel_mass_q2;rel_mass_q3;rel_mass_q4;center_x;center_y;norm_center_x;norm_center_y;I_x;I_y;norm_I_x;norm_I_y
armenian_1389;70;2;261;184;0.007;0.0002;0.0261;0.0184;95.55922330097087;110.73009708737864;0.4777961165048544;0.5536504854368932;62619.48349514563;70676.94368932038;0.0030397807521915354;0.0034309195965689506
armenian_1390;38;1;127;142;0.0038;0.0001;0.0127;0.0142;98.73615635179154;111.97068403908794;0.4936807817589577;0.5598534201954397;27718.736156351788;13757.628664495114;0.002257226071364152;0.0011203280671412959
armenian_1391;69;2;120;165;0.0069;0.0002;0.012;0.0165;98.70056497175142;110.41525423728814;0.49350282485875707;0.5520762711864406;53103.957627118645;17826.25988700565;0.0037502794934405823;0.0012589166586868398
armenian_1392;38;3;164;114;0.0038;0.0003;0.0164;0.0114;97.08544303797468;113.15506329113924;0.4854272151898734;0.5657753164556962;31383.401898734173;14780.693037974685;0.002482864074266944;0.0011693586264220478
armenian_1393;32;5;124;130;0.0032;0.0005;0.0124;0.013;98.3917525773196;114.05841924398625;0.49195876288659796;0.5702920962199313;31508.00687285223;11663.340206185567;0.0027068734426848994;0.001002005172352712
armenian_1394;3;4;118;178;0.0003;0.0004;0.0118;0.0178;100.16216216216216;121.36148648648648;0.5008108108108108;0.6068074324324324;27456.320945945947;15066.216216216217;0.0023189460258400294;0.0012724844777209643
armenian_1395;12;34;142;121;0.0012;0.0034;0.0142;0.0121;99.60194174757281;113.6116504854369;0.49800970873786404;0.5680582524271844;34573.398058252424;13896.038834951456;0.0027972004901498726;0.0011242749866465578
armenian_1396;2;48;110;151;0.0002;0.0048;0.011;0.0151;100.72491909385113;113.1779935275081;0.5036245954692556;0.5658899676375405;34135.21035598705;14379.618122977347;0.002761748410678564;0.0011633995245127302
armenian_1397;1;3;154;1;0.0001;0.0003;0.0154;0.0001;95.99350649350649;124.42857142857143;0.47996753246753243;0.6221428571428571;17117.714285714286;1582.9935064935066;0.0027788497217068647;0.000256979465339855
armenian_1398;43;3;132;131;0.0043;0.0003;0.0132;0.0131;98.19093851132686;113.11003236245955;0.4909546925566343;0.5655501618122978;34066.25889967638;14529.734627831713;0.002756169813889675;0.0011755448728019186
armenian_1399;4;5;77;92;0.0004;0.0005;0.0077;0.0092;99.71597633136095;123.23668639053254;0.4985798816568047;0.6161834319526627;24946.5325443787;3876.3668639053258;0.003690315465144778;0.0005734270508735689
armenian_1400;1;2;116;128;0.0001;0.0002;0.0116;0.0128;99.81557377049181;123.14754098360656;0.49907786885245903;0.6157377049180328;12856.688524590165;12432.70081967213;0.0013172836603063693;0.0012738422970975543
armenian_1401;3;1;95;57;0.0003;0.0001;0.0095;0.0057;98.34210526315789;126.0;0.49171052631578943;0.63;13946.0;1816.2105263157896;0.00229375;0.000298718836565097
armenian_1402;1;2;163;226;0.0001;0.0002;0.0163;0.0226;101.52442159383034;121.0771208226221;0.5076221079691517;0.6053856041131105;31833.686375321333;49631.017994858616;0.0020458667336324763;0.0031896541127801165
armenian_1403;2;3;138;102;0.0002;0.0003;0.0138;0.0102;98.45;122.27083333333333;0.49225;0.6113541666666666;27155.395833333336;7055.400000000001;0.0028286870659722223;0.0007349375
armenian_1404;1;4;114;129;0.0001;0.0004;0.0114;0.0129;99.90534979423869;122.96296296296296;0.4995267489711934;0.6148148148148148;13130.666666666664;12204.823045267489;0.0013508916323731136;0.0012556402309945977
armenian_1405;2;3;110;132;0.0002;0.0003;0.011;0.0132;99.56611570247934;123.55785123966942;0.4978305785123967;0.6177892561983471;12205.690082644625;12001.442148760332;0.00126091839696742;0.001239818403797555
armenian_1406;1;61;126;153;0.0001;0.0061;0.0126;0.0153;100.34705882352941;110.79411764705883;0.5017352941176471;0.5539705882352941;50261.588235294126;16479.04705882353;0.0036957050173010387;0.0012116946366782008
armenian_1407;2;1;169;175;0.0002;0.0001;0.0169;0.0175;99.75872093023256;123.34302325581395;0.4987936046511628;0.6167151162790697;18273.523255813954;41766.973837209305;0.0013280176784748513;0.003035390540494862
armenian_1408;3;2;161;116;0.0003;0.0002;0.0161;0.0116;98.2202166064982;121.12635379061372;0.491101083032491;0.6056317689530686;26886.577617328523;13041.566787003609;0.002426586427556726;0.0011770367136284844
armenian_1409;1;3;151;176;0.0001;0.0003;0.0151;0.0176;100.00305810397553;122.86850152905198;0.5000152905198777;0.6143425076452599;31567.34556574924;15702.996941896025;0.0024134056242927555;0.0012005349343957206
armenian_1410;2;1;102;20;0.0002;0.0001;0.0102;0.002;97.63934426229508;124.89344262295081;0.4881967213114754;0.6244672131147541;6967.614754098362;1504.1311475409836;0.0014277899086267136;0.0003082235958075786
armenian_1411;31;26;191;196;0.0031;0.0026;0.0191;0.0196;99.60585585585585;111.03153153153153;0.49802927927927926;0.5551576576576577;54551.558558558565;41704.02477477476;0.003071596765684604;0.0023481995931742545
armenian_1412;1;2;224;133;0.0001;0.0002;0.0224;0.0133;97.41456582633053;122.55182072829132;0.4870728291316527;0.6127591036414566;35946.291316526615;17188.644257703083;0.0025172472910732924;0.001203686572668283
armenian_1413;3;1;112;105;0.0003;0.0001;0.0112;0.0105;98.96774193548387;123.00921658986175;0.4948387096774194;0.6150460829493087;9531.981566820275;11356.774193548388;0.0010981545583894326;0.00130838412368069
armenian_1414;95;37;150;189;0.0095;0.0037;0.015;0.0189;99.34394904458598;108.81104033970276;0.49671974522292994;0.5440552016985137;71174.18259023354;31218.28025477707;0.0037778228551079373;0.0016570212449457044
